life_history,native_status,plant_code,species,stature
Perennial,Native,CASP,castilleja sp.,Forb
Perennial,Exotic,EHER,ehrharta erecta,Grass
Perennial,Native,LESP,leymus sp.,Grass
Annual,Exotic,,annual exotic grass,Grass
Annual,Exotic,,annual grass litter,Grass
Annual,Exotic,ANCA,anthriscus cacaulis,Forb
Perennial,Native,ARCA,artemisia californica,Shrub
Perennial,Native,ARPY,artemisia pycnocephala,Shrub
Annual,Exotic,AVBA,avena barbada,Grass
Annual,Exotic,AVFA,avena fatua,Grass
Perennial,Native,BAPI,baccharius pilularis,Shrub
Perennial,Native,BRCA,bromus carinatus,Grass
Annual,Exotic,BRHO,bromus hordeaceus,Grass
Perennial,Native,CARA,cardionema ramosissimum,Forb
Perennial,Exotic,CAED,carpobrotus edulis,Forb
Perennial,Native,CAAF,castilleja affinis,Forb
Perennial,Native,CHCA,chenopodium califoricum,Forb
Annual,Native,CLPE,claytonia perfoliata,Forb
Annual,Exotic,CYEC,cynosurus echinatus,Grass
Perennial,Native,DUFA,dudleya farinosa,Forb
Perennial,Native,EQLA,equisetum laevigatum,Forb
Annual,Exotic,ERXX,erodium sp,Forb
Perennial,Native,FERU,festuca rubra,Grass
Annual,Exotic,GAAP,galium aparine,Forb
Annual,Exotic,GAXX,gnaphalium sp,Forb
,,,grass litter,Grass
Perennial,Native,GRHI,grindelia hirsutula var. maritima,Forb
Perennial,Exotic,HEHE,hedera helix ssp. canariensis,Shrub
Perennial,Native,HELA,heracleum lanatum,Forb
Perennial,Native,HEAR,heteromeles arbutifolia,Shrub
Perennial,Exotic,HOLA,holcus lanatus,Grass
Perennial,Native,IRDO,iris douglasiana,Forb
Annual,Native,JUBU,juncus bufonius,Rush
Perennial,Native,JULE,juncus leseuerii,Rush
Perennial,Native,JUPA,juncus patens,Rush
Perennial,Native,JUXX,juncus sp.,Rush
Perennial,Exotic,LAAR,lavatera arborea,Shrub
Perennial,Native,LETR,leymus triticoides,Grass
Perennial,Native,LOSC,lotus scoparius,Forb
Annual,Native,LOST,lotus strigosus,Forb
Annual,Exotic,MANE,malva neglecta,Forb
Perennial,Native,MAFA,marah fabaceous,Forb
Annual,Exotic,MEIN,medicago indica,Forb
Annual,Exotic,MEPO,medicago polymorpha,Forb
Annual,Exotic,MEIN,melilotus indica,Forb
Perennial,Native,MIAU,mimulus auranticus,Forb
Perennial,Exotic,OXIN,oxalis incarnata,Forb
Perennial,Exotic,OXPE,oxalis pes-caprae,Forb
Perennial,Native,PHCA,phacilia californica,Tree
Perennial,Exotic,PIRA,pinus radiata,Tree
,Exotic,,pira litter,
Annual,Exotic,POAN,poa annua,Grass
Perennial,Exotic,POAR,polygonum arenastrum,Forb
Perennial,Native,PTAQ,pteridium aquilinum,Forb
Perennial,Native,RHCA,rhamnus californica,Shrub
Perennial,Native,RISA,ribes sanguineum,Shrub
Perennial,Exotic,RUAC,rumex acetosella,Forb
Perennial,Native,SADO,satureja douglasii,Forb
Annual,Exotic,SEVU,senecio vulgaris,Forb
Annual,Exotic,SIGA,silene gallica,Forb
Perennial,Native,SIBE,sisyrinchium bellum,Forb
Perennial,Exotic,SOXX,solanum,Forb
Perennial,Exotic,SONI,solanum nigrum,Forb
Annual,Exotic,SOOL,sonchus oleraceus,Forb
Perennial,Native,STAJ,stachys ajugoides,Forb
Annual,Exotic,STME,stellaria media,Forb
Perennial,Native,TACA,tanacetum camphoratum,Forb
Perennial,Exotic,TAOF,taraxacum offianale,Forb
Perennial,Exotic,TAOF,taraxacum officinalis,Forb
Annual,Exotic,TETE,tetragonia tetragonioides,Forb
Perennial,Native,TODI,toxicodendron diversilobum,Shrub
Annual,Exotic,VISA,vicia sativa,Forb
Annual,Exotic,VUBR,vulpia bromoides,Grass
Annual,Exotic,VUMY,vulpia myuros,Grass
Annual,Exotic,VUXX,vulpia sp,Grass
